chaju_id,credit_class,score_risk,gender,age,agegroup,job,edu,dwell_type,house_type,marriage,income_home_grp,income_ind_grp,expenditure_grp,child_cd,no_child,flag_priv_biz_cd
C-1001,C05,478,남성,30,30대,기능/노무직,대학교 졸업,자가,아파트,미혼,900-999만원,300-399만원,100-199만원,Y,0,N
C-1002,C05,484,여성,66,60대,전업주부,초등학교 졸업,자가,아파트,기혼,200-299만원,모름/무응답,99만원 이하,N,3,Y
C-1003,C05,478,남성,43,40대,판매/서비스직,대학교 졸업,자가,아파트,기혼,500-599만원,500-599만원,100-199만원,N,2,N
C-1004,C05,445,남성,28,20대,무직/기타,대학교 졸업,자가,아파트,미혼,500-599만원,모름/무응답,99만원 이하,Y,0,N
C-1005,C05,421,남성,52,50대,행정관리/전문직,대학교 졸업,자가,아파트,기혼,500-599만원,500-599만원,200-299만원,N,2,N
C-1006,C06,521,여성,59,50대,판매/서비스직,고등학교 졸업,자가,아파트,기타(이혼/별거/사별),300-399만원,100-199만원,99만원 이하,N,2,N
C-1007,C05,445,남성,26,20대,무직/기타,대학교 졸업,자가,아파트,미혼,500-599만원,모름/무응답,99만원 이하,Y,0,N
C-1008,C06,528,남성,35,30대,판매/서비스직,대학교 졸업,전세,아파트,기혼,500-599만원,300-399만원,99만원 이하,N,2,Y
C-1009,C06,560,여성,21,20대,학생(재수생포함),대학교 재학,전세,연립/다세대/빌라,미혼,200-299만원,모름/무응답,100-199만원,Y,0,N
C-1010,C05,430,남성,22,20대,학생(재수생포함),대학교 재학,전세,단독주택,미혼,400-499만원,모름/무응답,100-199만원,Y,0,N
C-1011,C04,374,여성,64,60대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,200-299만원,100-199만원,99만원 이하,N,3,N
C-1012,C04,381,여성,52,50대,기능/노무직,고등학교 졸업,전세,아파트,기혼,400-499만원,100-199만원,99만원 이하,Y,0,N
C-1013,C06,528,여성,36,30대,사무직,대학교 졸업,전세,연립/다세대/빌라,미혼,300-399만원,300-399만원,100-199만원,Y,0,N
C-1014,C05,405,여성,26,20대,사무직,대학교 졸업,월세,오피스텔,미혼,400-499만원,200-299만원,99만원 이하,Y,0,N
C-1015,C06,518,남성,42,40대,판매/서비스직,전문대학 졸업,전세,아파트,기혼,500-599만원,200-299만원,200-299만원,Y,0,N
C-1016,C04,341,여성,56,50대,전업주부,대학교 졸업,자가,단독주택,기혼,500-599만원,모름/무응답,100-199만원,N,2,N
