chaju_id,com_id,check_ym,sector_cd,sector,over_type,over_reason_cd,over_reason,over_regist,over_ym,over_amt
C-1001,S21-01018,202001,S21,상호저축은행(S21),공공(2),R-0101,대출원금·이자연체,주채무자(0),202001,5700000
C-1001,S21-01018,202002,S21,상호저축은행(S21),공공(2),R-0101,대출원금·이자연체,주채무자(0),202001,5700000
C-1019,S01-01001,202008,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S01-01001,202003,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S01-01001,202006,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S01-01001,202010,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S01-01001,202002,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S01-01001,202012,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S01-01001,202009,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S01-01001,202007,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S01-01001,202004,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S01-01001,202011,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S01-01001,202005,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,주채무자(0),202002,270000000
C-1019,S05-01002,202004,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201903,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201911,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201902,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201905,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201901,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201909,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201912,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,202001,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201910,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,202002,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201907,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201908,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201906,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201904,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,201812,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S05-01002,202003,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),201811,900000
C-1019,S98-01028,202004,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202012,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,201908,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,201909,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,201911,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,201907,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202001,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202006,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202010,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,201912,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202008,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202009,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202002,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,201910,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202011,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202007,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,201906,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202003,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01028,202005,S98,기타-장학재단/기금 등(S98),공공(2),R-0202,신용보증대지급금,주채무자(0),201906,12000000
C-1019,S98-01049,202009,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201910,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202006,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201912,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201908,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202004,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202008,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202007,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201904,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201909,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202005,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202010,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202011,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202003,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201907,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201906,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202012,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201901,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201903,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201905,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201902,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202001,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201812,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,202002,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1019,S98-01049,201911,S98,기타-장학재단/기금 등(S98),공공(2),R-0101,대출원금·이자연체,주채무자(0),201604,10000000
C-1029,S05-01002,202011,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),202008,880000
C-1029,S05-01002,202008,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),202008,880000
C-1029,S05-01002,202009,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),202008,880000
C-1029,S05-01002,202012,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),202008,880000
C-1029,S05-01002,202010,S05,신용카드사(S05),공공(2),R-0104,신용카드대금연체,특수채권(7),202008,880000
C-1030,S01-01010,201901,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201911,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201904,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201907,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201902,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201906,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201909,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201812,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201910,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201903,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201908,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1030,S01-01010,201905,S01,은행(S01),공공(2),R-0101,대출원금·이자연체,특수채권(7),201302,8000000
C-1036,S01-01016,202012,S01,은행(S01),공공(2),R-9997,부도 정보,주채무자(0),201011,95000000
C-1036,S01-01016,201909,S01,은행(S01),공공(2),R-9997,부도 정보,주채무자(0),201011,95000000
