chaju_id,credit_class,score_risk,gender,age,agegroup,job,edu,dwell_type,house_type,marriage,income_home_grp,income_ind_grp,expenditure_grp,child_cd,no_child,flag_priv_biz_cd,card_count,card_period,loan_period,Pcard_loan_amt,over_period,Pcard_over_amt,over_amt,loan_amt_final2,del_rate,loan_count,overdue_count
C-1001,C05,478,남성,30,30대,기능/노무직,대학교 졸업,자가,아파트,미혼,900-999만원,300-399만원,100-199만원,N,0,N,4.0,99.0,79.0,0.0,2.0,0.0,5700000.0,70300000.0,8.108108108108109,9.0,1.0
C-1002,C05,484,여성,66,60대,전업주부,초등학교 졸업,자가,아파트,기혼,200-299만원,100-199만원,99만원 이하,Y,3,Y,6.0,126.0,6.0,350000.0,0.0,0.0,0.0,3150000.0,0.0,2.0,0.0
C-1003,C05,478,남성,43,40대,판매/서비스직,대학교 졸업,자가,아파트,기혼,500-599만원,500-599만원,100-199만원,Y,2,N,2.0,50.0,79.0,0.0,0.0,0.0,0.0,391000000.0,0.0,5.0,0.0
C-1004,C05,445,남성,28,20대,무직/기타,대학교 졸업,자가,아파트,미혼,500-599만원,200-299만원,99만원 이하,N,0,N,1.0,25.0,5.0,0.0,0.0,0.0,0.0,590000.0,0.0,2.0,0.0
C-1005,C05,421,남성,52,50대,행정관리/전문직,대학교 졸업,자가,아파트,기혼,500-599만원,500-599만원,200-299만원,Y,2,N,3.0,75.0,40.0,0.0,0.0,0.0,0.0,367200000.0,0.0,4.0,0.0
C-1006,C06,521,여성,59,50대,판매/서비스직,고등학교 졸업,자가,아파트,기타(이혼/별거/사별),300-399만원,100-199만원,99만원 이하,Y,2,N,2.0,7.0,55.0,0.0,0.0,0.0,0.0,218000000.0,0.0,4.0,0.0
C-1007,C05,445,남성,26,20대,무직/기타,대학교 졸업,자가,아파트,미혼,500-599만원,200-299만원,99만원 이하,N,0,N,1.0,25.0,10.0,0.0,0.0,0.0,0.0,1170000.0,0.0,3.0,0.0
C-1008,C06,528,남성,35,30대,판매/서비스직,대학교 졸업,전세,아파트,기혼,500-599만원,300-399만원,99만원 이하,Y,2,Y,7.0,167.0,110.0,0.0,0.0,0.0,0.0,78910000.0,0.0,11.0,0.0
C-1009,C06,560,여성,21,20대,학생(재수생포함),대학교 재학,전세,연립/다세대/빌라,미혼,200-299만원,200-299만원,100-199만원,N,0,N,1.0,25.0,25.0,0.0,0.0,0.0,0.0,4500000.0,0.0,1.0,0.0
C-1010,C05,430,남성,22,20대,학생(재수생포함),대학교 재학,전세,단독주택,미혼,400-499만원,400-499만원,100-199만원,N,0,N,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1011,C04,374,여성,64,60대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,200-299만원,100-199만원,99만원 이하,Y,3,N,1.0,25.0,6.0,0.0,0.0,0.0,0.0,12000000.0,0.0,1.0,0.0
C-1012,C04,381,여성,52,50대,기능/노무직,고등학교 졸업,전세,아파트,기혼,400-499만원,100-199만원,99만원 이하,N,0,N,3.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1013,C06,528,여성,36,30대,사무직,대학교 졸업,전세,연립/다세대/빌라,미혼,300-399만원,300-399만원,100-199만원,N,0,N,3.0,55.0,62.0,0.0,0.0,0.0,0.0,871700000.0,0.0,4.0,0.0
C-1014,C05,405,여성,26,20대,사무직,대학교 졸업,월세,오피스텔,미혼,400-499만원,200-299만원,99만원 이하,N,0,N,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1015,C06,518,남성,42,40대,판매/서비스직,전문대학 졸업,전세,아파트,기혼,500-599만원,200-299만원,200-299만원,N,0,N,4.0,100.0,18.0,0.0,0.0,0.0,0.0,680000.0,0.0,1.0,0.0
C-1016,C04,341,여성,56,50대,전업주부,대학교 졸업,자가,단독주택,기혼,500-599만원,200-299만원,100-199만원,Y,2,N,5.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1017,C04,318,여성,48,40대,사무직,고등학교 졸업,자가,아파트,기혼,500-599만원,200-299만원,99만원 이하,Y,2,N,2.0,42.0,7.0,0.0,0.0,0.0,0.0,120000000.0,0.0,1.0,0.0
C-1018,C05,451,여성,53,50대,판매/서비스직,고등학교 졸업,자가,연립/다세대/빌라,기혼,300-399만원,100-199만원,100-199만원,Y,1,N,6.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1019,C07,668,남성,47,40대,무직/기타,대학교 졸업,자가,아파트,기혼,200-299만원,200-299만원,99만원 이하,Y,2,N,1.0,25.0,53.0,0.0,72.0,0.0,292900000.0,322800000.0,90.7372986369269,3.0,4.0
C-1020,C05,488,남성,40,40대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,500-599만원,300-399만원,100-199만원,Y,2,N,5.0,85.0,25.0,0.0,0.0,0.0,0.0,100000000.0,0.0,1.0,0.0
C-1021,C05,481,여성,59,50대,전업주부,중학교 졸업,자가,아파트,기혼,200-299만원,200-299만원,99만원 이하,Y,1,N,3.0,75.0,20.0,0.0,0.0,0.0,0.0,42100000.0,0.0,2.0,0.0
C-1022,C05,481,남성,53,50대,판매/서비스직,고등학교 졸업,자가,단독주택,기혼,800-899만원,500-599만원,99만원 이하,Y,2,N,0.0,0.0,69.0,0.0,0.0,0.0,0.0,36200000.0,0.0,3.0,0.0
C-1023,C05,491,여성,50,50대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,600-699만원,200-299만원,200-299만원,Y,2,N,3.0,75.0,13.0,0.0,0.0,0.0,0.0,11850000.0,0.0,3.0,0.0
C-1024,C04,374,여성,63,60대,전업주부,고등학교 졸업,자가,단독주택,기혼,200-299만원,200-299만원,99만원 이하,Y,2,Y,5.0,82.0,1.0,0.0,0.0,0.0,0.0,50000.0,0.0,1.0,0.0
C-1025,C04,307,남성,71,70대,학생(재수생포함),대학교 재학,자가,아파트,미혼,500-599만원,500-599만원,99만원 이하,N,0,Y,3.0,71.0,31.0,0.0,0.0,0.0,0.0,224000000.0,0.0,2.0,0.0
C-1026,C04,357,여성,77,70대,전업주부,중학교 졸업,자가,아파트,기혼,100-199만원,100-199만원,99만원 이하,Y,3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1027,C03,297,여성,79,70대,전업주부,대학교 졸업,전세,아파트,기혼,300-399만원,300-399만원,99만원 이하,Y,1,N,1.0,5.0,39.0,0.0,0.0,0.0,0.0,94000000.0,0.0,2.0,0.0
C-1028,C04,338,여성,38,30대,판매/서비스직,대학교 졸업,자가,아파트,기혼,600-699만원,200-299만원,100-199만원,Y,2,N,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1029,C05,451,여성,52,50대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,500-599만원,200-299만원,99만원 이하,Y,2,N,2.0,43.0,10.0,0.0,5.0,0.0,880000.0,2380000.0,36.97478991596639,2.0,1.0
C-1030,C03,288,남성,43,40대,사무직,대학교 졸업,자가,아파트,기혼,500-599만원,300-399만원,100-199만원,Y,1,N,0.0,0.0,0.0,0.0,12.0,0.0,8000000.0,8000000.0,100.0,0.0,1.0
C-1031,C06,501,남성,51,50대,사무직,대학교 졸업,자가,아파트,기혼,600-699만원,400-499만원,200-299만원,Y,2,N,5.0,75.0,92.0,0.0,0.0,0.0,0.0,890000000.0,0.0,6.0,0.0
C-1032,C04,358,여성,46,40대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,500-599만원,200-299만원,99만원 이하,Y,2,N,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1033,C04,365,여성,81,80대이상,학생(재수생포함),고등학교 졸업,자가,연립/다세대/빌라,미혼,500-599만원,500-599만원,99만원 이하,N,0,N,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1034,C06,554,여성,69,60대,기능/노무직,중학교 졸업,자가,연립/다세대/빌라,기타(이혼/별거/사별),100-199만원,100-199만원,99만원 이하,Y,2,N,0.0,0.0,49.0,0.0,0.0,0.0,0.0,1950000.0,0.0,2.0,0.0
C-1035,C04,388,여성,42,40대,판매/서비스직,전문대학 졸업,자가,아파트,기혼,500-599만원,500-599만원,100-199만원,Y,1,N,3.0,75.0,2.0,0.0,0.0,0.0,0.0,100000.0,0.0,1.0,0.0
C-1036,C05,454,남성,64,60대,기능/노무직,고등학교 졸업,자가,아파트,기혼,400-499만원,400-499만원,99만원 이하,Y,2,N,0.0,0.0,0.0,0.0,25.0,0.0,95000000.0,0.0,100.0,0.0,1.0
C-1037,C05,458,남성,35,30대,사무직,대학교 졸업,전세,연립/다세대/빌라,기혼,400-499만원,200-299만원,99만원 이하,Y,1,N,5.0,100.0,52.0,0.0,0.0,0.0,0.0,31780000.0,0.0,10.0,0.0
C-1038,C04,331,여성,59,50대,판매/서비스직,대학교 졸업,자가,아파트,기혼,700-799만원,200-299만원,100-199만원,Y,1,Y,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1039,C07,604,여성,66,60대,무직/기타,중학교 졸업,자가,아파트,기혼,200-299만원,200-299만원,100-199만원,Y,2,N,4.0,93.0,17.0,27900000.0,47.0,0.0,19210000.0,51800000.0,37.084942084942085,5.0,4.0
C-1040,C03,287,여성,78,70대,전업주부,대학교 졸업,자가,아파트,기혼,400-499만원,200-299만원,100-199만원,Y,2,N,7.0,158.0,1.0,0.0,0.0,0.0,0.0,160000000.0,0.0,1.0,0.0
C-1041,C05,448,여성,41,40대,전업주부,대학교 졸업,전세,아파트,기혼,300-399만원,300-399만원,99만원 이하,Y,1,Y,5.0,110.0,26.0,0.0,0.0,0.0,0.0,3680000.0,0.0,2.0,0.0
C-1042,C06,575,여성,28,20대,사무직,대학교 졸업,월세,연립/다세대/빌라,미혼,200-299만원,200-299만원,100-199만원,N,0,N,5.0,106.0,42.0,0.0,0.0,0.0,0.0,8140000.0,0.0,7.0,0.0
C-1043,C04,375,남성,28,20대,사무직,대학교 졸업,자가,아파트,미혼,600-699만원,200-299만원,99만원 이하,N,0,N,0.0,0.0,28.0,0.0,0.0,0.0,0.0,54900000.0,0.0,3.0,0.0
C-1044,C04,328,남성,31,30대,기능/노무직,대학교 졸업,자가,아파트,미혼,600-699만원,200-299만원,99만원 이하,N,0,N,3.0,53.0,16.0,0.0,0.0,0.0,0.0,11690000.0,0.0,4.0,0.0
C-1045,C06,578,여성,34,30대,기능/노무직,전문대학 졸업,자가,아파트,기혼,600-699만원,100-199만원,300-399만원,Y,2,N,3.0,75.0,83.0,0.0,26.0,0.0,95400000.0,193890000.0,49.203156428902986,8.0,4.0
C-1046,C05,457,여성,70,70대,기능/노무직,중학교 졸업,자가,연립/다세대/빌라,기타(이혼/별거/사별),100-199만원,100-199만원,99만원 이하,Y,2,N,1.0,22.0,25.0,0.0,11.0,0.0,1300000.0,23300000.0,5.579399141630901,1.0,1.0
C-1047,C05,464,남성,64,60대,행정관리/전문직,대학원 졸업,자가,연립/다세대/빌라,기혼,700-799만원,700-799만원,300-399만원,Y,2,N,5.0,111.0,80.0,0.0,0.0,0.0,0.0,319000000.0,0.0,4.0,0.0
C-1048,C04,368,여성,38,30대,판매/서비스직,대학교 졸업,자가,아파트,기혼,600-699만원,200-299만원,200-299만원,Y,1,N,2.0,42.0,0.0,0.0,11.0,0.0,7260000.0,7260000.0,100.0,0.0,2.0
C-1049,C06,554,여성,62,60대,전업주부,중학교 졸업,자가,아파트,기혼,100-199만원,100-199만원,99만원 이하,Y,2,Y,5.0,113.0,61.0,0.0,0.0,0.0,0.0,26210000.0,0.0,11.0,0.0
C-1050,C07,631,남성,53,50대,행정관리/전문직,고등학교 졸업,자가,아파트,기혼,600-699만원,600-699만원,100-199만원,Y,2,N,3.0,50.0,96.0,0.0,85.0,0.0,16900000.0,68390000.0,24.711215089925428,4.0,6.0
C-1051,C05,425,여성,28,20대,무직/기타,전문대학 졸업,자가,연립/다세대/빌라,미혼,400-499만원,100-199만원,99만원 이하,N,0,N,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1052,C04,378,남성,31,30대,판매/서비스직,대학교 졸업,자가,단독주택,기혼,300-399만원,300-399만원,100-199만원,Y,1,N,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2200000.0,0.0,1.0,0.0
C-1053,C04,328,남성,38,30대,기능/노무직,전문대학 졸업,자가,아파트,미혼,800-899만원,200-299만원,100-199만원,N,0,N,0.0,0.0,0.0,0.0,2.0,0.0,760000.0,760000.0,100.0,0.0,1.0
C-1054,C04,358,여성,38,30대,전업주부,대학교 졸업,전세,아파트,기혼,300-399만원,300-399만원,100-199만원,Y,1,N,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1055,C06,551,여성,55,50대,전업주부,고등학교 졸업,자가,연립/다세대/빌라,기혼,200-299만원,200-299만원,99만원 이하,Y,2,Y,4.0,100.0,140.0,0.0,0.0,0.0,0.0,543080000.0,0.0,14.0,0.0
C-1056,C07,608,남성,42,40대,기능/노무직,고등학교 졸업,월세,오피스텔,미혼,300-399만원,300-399만원,100-199만원,N,0,N,5.0,103.0,20.0,0.0,0.0,0.0,0.0,78000000.0,0.0,2.0,0.0
C-1057,C06,504,여성,60,60대,전업주부,고등학교 졸업,자가,연립/다세대/빌라,기혼,600-699만원,200-299만원,200-299만원,Y,2,Y,4.0,66.0,37.0,0.0,0.0,0.0,0.0,29440000.0,0.0,9.0,0.0
C-1058,C05,441,여성,53,50대,전업주부,고등학교 졸업,자가,아파트,기혼,400-499만원,200-299만원,200-299만원,Y,1,N,0.0,0.0,26.0,0.0,33.0,0.0,20400000.0,22160000.0,92.057761732852,2.0,3.0
C-1059,C05,447,여성,73,70대,무직/기타,중학교 졸업,자가,아파트,기타(이혼/별거/사별),99만원 이하,99만원 이하,99만원 이하,Y,1,N,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1060,C06,515,여성,26,20대,판매/서비스직,고등학교 졸업,월세,단독주택,미혼,200-299만원,200-299만원,100-199만원,N,0,N,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1061,C05,488,남성,43,40대,기능/노무직,전문대학 졸업,자가,아파트,기혼,500-599만원,300-399만원,100-199만원,Y,2,N,5.0,112.0,94.0,0.0,0.0,0.0,0.0,347880000.0,0.0,10.0,0.0
C-1062,C04,348,남성,42,40대,사무직,전문대학 졸업,전세,아파트,기혼,300-399만원,300-399만원,100-199만원,Y,1,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1063,C05,421,여성,54,50대,전업주부,고등학교 졸업,자가,단독주택,기혼,900-999만원,200-299만원,200-299만원,Y,2,N,3.0,46.0,57.0,0.0,0.0,0.0,0.0,226000000.0,0.0,3.0,0.0
C-1064,C05,438,여성,30,30대,무직/기타,전문대학 졸업,자가,아파트,미혼,600-699만원,200-299만원,99만원 이하,N,0,N,1.0,6.0,46.0,0.0,0.0,0.0,0.0,60200000.0,0.0,2.0,0.0
C-1065,C03,288,여성,39,30대,사무직,대학교 졸업,자가,아파트,기혼,600-699만원,300-399만원,100-199만원,Y,2,N,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-1066,C06,508,여성,45,40대,전업주부,전문대학 졸업,자가,아파트,기혼,100-199만원,100-199만원,100-199만원,Y,1,N,4.0,71.0,59.0,0.0,0.0,0.0,0.0,235000000.0,0.0,3.0,0.0
C-1067,C03,278,남성,35,30대,사무직,대학교 졸업,자가,아파트,미혼,700-799만원,300-399만원,99만원 이하,N,0,N,1.0,25.0,1.0,0.0,0.0,0.0,0.0,4000000.0,0.0,1.0,0.0
C-1068,C05,494,남성,67,60대,판매/서비스직,고등학교 졸업,자가,단독주택,기혼,200-299만원,200-299만원,99만원 이하,Y,1,N,2.0,50.0,18.0,0.0,0.0,0.0,0.0,40000000.0,0.0,1.0,0.0
