chaju_id,credit_class,score_risk,gender,age,agegroup,job,edu,dwell_type,house_type,marriage,income_home_grp,expenditure_grp,child_cd,no_child,flag_priv_biz_cd,card_count,card_period,loan_period,Pcard_loan_amt,over_period,Pcard_over_amt,over_amt,loan_amt_final2,del_rate,loan_count,overdue_count,income_ind_grp,real_period,new_score_scaled
C-1001,C05,478,남성,30,30대,기능/노무직,대학교 졸업,자가,아파트,미혼,900-999만원,100-199만원,N,0,N,4.0,99.0,79.0,0.0,2.0,0.0,5700000.0,70300000.0,8.108108108108109,9.0,1.0,300-399만원,222.0,253.03312611185885
C-1002,C05,484,여성,66,60대,전업주부,초등학교 졸업,자가,아파트,기혼,200-299만원,99만원 이하,Y,3,Y,6.0,126.0,6.0,350000.0,0.0,0.0,0.0,3150000.0,0.0,2.0,0.0,200-299만원,76.0,247.51382823694104
C-1003,C05,478,남성,43,40대,판매/서비스직,대학교 졸업,자가,아파트,기혼,500-599만원,100-199만원,Y,2,N,2.0,50.0,79.0,0.0,0.0,0.0,0.0,391000000.0,0.0,5.0,0.0,500-599만원,234.0,309.2323918893456
C-1004,C05,445,남성,28,20대,무직/기타,대학교 졸업,자가,아파트,미혼,500-599만원,99만원 이하,N,0,N,1.0,25.0,5.0,0.0,0.0,0.0,0.0,590000.0,0.0,2.0,0.0,100-199만원,90.0,342.96597496142505
C-1005,C05,421,남성,52,50대,행정관리/전문직,대학교 졸업,자가,아파트,기혼,500-599만원,200-299만원,Y,2,N,3.0,75.0,40.0,0.0,0.0,0.0,0.0,367200000.0,0.0,4.0,0.0,300-399만원,264.0,289.4202763103107
C-1006,C06,521,여성,59,50대,판매/서비스직,고등학교 졸업,자가,아파트,기타(이혼/별거/사별),300-399만원,99만원 이하,Y,2,N,2.0,7.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100-199만원,5.0,363.4443654160296
C-1007,C05,445,남성,26,20대,무직/기타,대학교 졸업,자가,아파트,미혼,500-599만원,99만원 이하,N,0,N,1.0,25.0,10.0,0.0,0.0,0.0,0.0,1170000.0,0.0,3.0,0.0,100-199만원,104.0,343.4576631686936
C-1008,C06,528,남성,35,30대,판매/서비스직,대학교 졸업,전세,아파트,기혼,500-599만원,99만원 이하,Y,2,Y,7.0,167.0,110.0,0.0,0.0,0.0,0.0,78910000.0,0.0,11.0,0.0,300-399만원,145.0,181.7847474441112
C-1009,C06,560,여성,21,20대,학생(재수생포함),대학교 재학,전세,연립/다세대/빌라,미혼,200-299만원,100-199만원,N,0,N,1.0,25.0,25.0,0.0,0.0,0.0,0.0,4500000.0,0.0,1.0,0.0,200-299만원,141.0,313.33967710256456
C-1011,C04,374,여성,64,60대,판매/서비스직,고등학교 졸업,자가,아파트,기혼,200-299만원,99만원 이하,Y,3,N,1.0,25.0,6.0,0.0,0.0,0.0,0.0,12000000.0,0.0,1.0,0.0,200-299만원,123.0,341.3506985657656
