chaju_id,overdue_count,over_amt,over_period,loan_count,loan_amt_final2,loan_period,card_period,age,house_type,income_home_grp,expenditure_grp,flag_priv_biz_cd,dwell_type,job
C-1001,0.091,0.004,0.013,0.474,0.039,0.409,0.562,0.141,0.412,0.104,0.000,1.000,0.718,0.399
C-1002,0.000,0.000,0.000,0.105,0.002,0.031,0.716,0.703,0.412,0.342,0.059,0.000,0.718,0.000
C-1003,0.000,0.000,0.000,0.263,0.217,0.409,0.284,0.344,0.412,0.306,0.000,1.000,0.718,0.319
C-1004,0.000,0.000,0.000,0.105,0.000,0.026,0.142,0.109,0.412,0.306,0.059,1.000,0.718,1.000
C-1005,0.000,0.000,0.000,0.211,0.204,0.207,0.426,0.484,0.412,0.306,0.041,1.000,0.718,0.160
C-1006,0.000,0.000,0.000,0.211,0.121,0.285,0.040,0.594,0.412,0.381,0.059,1.000,0.718,0.319
C-1007,0.000,0.000,0.000,0.158,0.001,0.052,0.142,0.078,0.412,0.306,0.059,1.000,0.718,1.000
C-1008,0.000,0.000,0.000,0.579,0.044,0.570,0.949,0.219,0.412,0.306,0.059,0.000,0.655,0.319
C-1009,0.000,0.000,0.000,0.053,0.003,0.130,0.142,0.000,0.378,0.342,0.000,1.000,0.655,0.441
C-1011,0.000,0.000,0.000,0.053,0.007,0.031,0.142,0.672,0.412,0.342,0.059,1.000,0.718,0.319
C-1013,0.000,0.000,0.000,0.211,0.484,0.321,0.312,0.234,0.378,0.381,0.000,1.000,0.655,0.210
C-1015,0.000,0.000,0.000,0.053,0.000,0.093,0.568,0.328,0.412,0.306,0.041,1.000,0.655,0.319
C-1017,0.000,0.000,0.000,0.053,0.067,0.036,0.239,0.422,0.412,0.306,0.059,1.000,0.718,0.210
C-1019,0.364,0.195,0.480,0.158,0.179,0.275,0.142,0.406,0.412,0.342,0.059,1.000,0.718,1.000
C-1020,0.000,0.000,0.000,0.053,0.056,0.130,0.483,0.297,0.412,0.306,0.000,1.000,0.718,0.319
C-1021,0.000,0.000,0.000,0.105,0.023,0.104,0.426,0.594,0.412,0.342,0.059,1.000,0.718,0.000
C-1022,0.000,0.000,0.000,0.158,0.020,0.358,0.000,0.500,0.373,1.000,0.059,1.000,0.718,0.319
C-1023,0.000,0.000,0.000,0.158,0.007,0.067,0.426,0.453,0.412,0.566,0.041,1.000,0.718,0.319
C-1024,0.000,0.000,0.000,0.053,0.000,0.005,0.466,0.656,0.373,0.342,0.059,0.000,0.718,0.000
C-1025,0.000,0.000,0.000,0.105,0.124,0.161,0.403,0.781,0.412,0.306,0.059,0.000,0.718,0.441
C-1027,0.000,0.000,0.000,0.105,0.052,0.202,0.028,0.906,0.412,0.381,0.059,1.000,0.655,0.000
C-1029,0.091,0.001,0.033,0.105,0.001,0.052,0.244,0.484,0.412,0.306,0.059,1.000,0.718,0.319
C-1030,0.091,0.005,0.080,0.000,0.004,0.000,0.000,0.344,0.412,0.306,0.000,1.000,0.718,0.210
C-1031,0.000,0.000,0.000,0.316,0.494,0.477,0.426,0.469,0.412,0.566,0.041,1.000,0.718,0.210
C-1034,0.000,0.000,0.000,0.105,0.001,0.254,0.000,0.750,0.378,0.576,0.059,1.000,0.718,0.399
C-1035,0.000,0.000,0.000,0.053,0.000,0.010,0.426,0.328,0.412,0.306,0.000,1.000,0.718,0.319
C-1036,0.091,0.063,0.167,0.000,0.000,0.000,0.000,0.672,0.412,0.564,0.059,1.000,0.718,0.399
C-1037,0.000,0.000,0.000,0.526,0.018,0.269,0.568,0.219,0.378,0.564,0.059,1.000,0.655,0.210
C-1039,0.364,0.013,0.313,0.263,0.029,0.088,0.528,0.703,0.412,0.342,0.000,1.000,0.718,1.000
C-1040,0.000,0.000,0.000,0.053,0.089,0.005,0.898,0.891,0.412,0.564,0.000,1.000,0.718,0.000
C-1041,0.000,0.000,0.000,0.105,0.002,0.135,0.625,0.312,0.412,0.381,0.059,0.000,0.655,0.000
C-1042,0.000,0.000,0.000,0.368,0.005,0.218,0.602,0.109,0.378,0.342,0.000,1.000,0.505,0.210
C-1043,0.000,0.000,0.000,0.158,0.030,0.145,0.000,0.109,0.412,0.566,0.059,1.000,0.718,0.210
C-1044,0.000,0.000,0.000,0.211,0.006,0.083,0.301,0.156,0.412,0.566,0.059,1.000,0.718,0.399
C-1045,0.364,0.063,0.173,0.421,0.108,0.430,0.426,0.203,0.412,0.566,0.059,1.000,0.718,0.399
C-1046,0.091,0.001,0.073,0.053,0.013,0.130,0.125,0.766,0.378,0.576,0.059,1.000,0.718,0.399
C-1047,0.000,0.000,0.000,0.211,0.177,0.415,0.631,0.672,0.378,0.000,0.059,1.000,0.718,0.160
C-1048,0.182,0.005,0.073,0.000,0.004,0.000,0.239,0.266,0.412,0.566,0.041,1.000,0.718,0.319
C-1049,0.000,0.000,0.000,0.579,0.015,0.316,0.642,0.641,0.412,0.576,0.059,0.000,0.718,0.000
C-1050,0.545,0.011,0.567,0.211,0.038,0.497,0.284,0.500,0.412,0.566,0.000,1.000,0.718,0.160
C-1052,0.000,0.000,0.000,0.053,0.001,0.005,0.000,0.156,0.373,0.381,0.000,1.000,0.718,0.319
C-1053,0.091,0.001,0.013,0.000,0.000,0.000,0.000,0.266,0.412,1.000,0.000,1.000,0.718,0.399
C-1055,0.000,0.000,0.000,0.737,0.302,0.725,0.568,0.531,0.378,0.342,0.059,0.000,0.718,0.000
C-1056,0.000,0.000,0.000,0.105,0.043,0.104,0.585,0.328,0.047,0.381,0.000,1.000,0.505,0.399
C-1057,0.000,0.000,0.000,0.474,0.016,0.192,0.375,0.609,0.378,0.566,0.041,0.000,0.718,0.000
C-1058,0.273,0.014,0.220,0.105,0.012,0.135,0.000,0.500,0.412,0.564,0.041,1.000,0.718,0.000
